# logAge MH Bmag Vmag Rmag
8.60 0.15 7.8562 7.0576 6.5253
8.60 0.15 7.8213 7.0263 6.4963
8.60 0.15 7.7864 6.9950 6.4674
8.60 0.15 7.7515 6.9637 6.4384
8.60 0.15 7.7166 6.9323 6.4095
8.60 0.15 7.6817 6.9010 6.3805
8.60 0.15 7.6468 6.8697 6.3516
8.60 0.15 7.6119 6.8383 6.3226
8.60 0.15 7.5770 6.8070 6.2937
8.60 0.15 7.5421 6.7757 6.2647
8.60 0.15 7.5072 6.7444 6.2358
8.60 0.15 7.4723 6.7130 6.2068
8.60 0.15 7.4374 6.6817 6.1779
8.60 0.15 7.4025 6.6504 6.1489
8.60 0.15 7.3676 6.6190 6.1200
8.60 0.15 7.3327 6.5877 6.0911
8.60 0.15 7.2978 6.5564 6.0621
8.60 0.15 7.2629 6.5251 6.0332
8.60 0.15 7.2280 6.4937 6.0042
8.60 0.15 7.1931 6.4624 5.9753
8.60 0.15 7.1582 6.4311 5.9463
8.60 0.15 7.1233 6.3997 5.9174
8.60 0.15 7.0884 6.3684 5.8884
8.60 0.15 7.0535 6.3371 5.8595
8.60 0.15 7.0186 6.3058 5.8305
8.60 0.15 6.9837 6.2744 5.8016
8.60 0.15 6.9488 6.2431 5.7726
8.60 0.15 6.9139 6.2118 5.7437
8.60 0.15 6.8790 6.1805 5.7147
8.60 0.15 6.8441 6.1491 5.6858
8.60 0.15 6.8092 6.1178 5.6568
8.60 0.15 6.7743 6.0865 5.6279
8.60 0.15 6.7394 6.0551 5.5989
8.60 0.15 6.7045 6.0238 5.5700
8.60 0.15 6.6696 5.9925 5.5411
8.60 0.15 6.6347 5.9612 5.5121
8.60 0.15 6.5998 5.9298 5.4832
8.60 0.15 6.5649 5.8985 5.4542
8.60 0.15 6.5300 5.8672 5.4253
8.60 0.15 6.4951 5.8358 5.3963
8.60 0.15 6.4602 5.8045 5.3674
8.60 0.15 6.4253 5.7732 5.3384
8.60 0.15 6.3904 5.7419 5.3095
8.60 0.15 6.3555 5.7105 5.2805
8.60 0.15 6.3206 5.6792 5.2516
8.60 0.15 6.2857 5.6479 5.2226
8.60 0.15 6.2508 5.6165 5.1937
8.60 0.15 6.2159 5.5852 5.1647
8.60 0.15 6.1810 5.5539 5.1358
8.60 0.15 6.1461 5.5226 5.1068
8.60 0.15 6.1112 5.4912 5.0779
8.60 0.15 6.0763 5.4599 5.0489
8.60 0.15 6.0414 5.4286 5.0200
8.60 0.15 6.0065 5.3972 4.9911
8.60 0.15 5.9716 5.3659 4.9621
8.60 0.15 5.9367 5.3346 4.9332
8.60 0.15 5.9018 5.3033 4.9042
8.60 0.15 5.8669 5.2719 4.8753
8.60 0.15 5.8320 5.2406 4.8463
8.60 0.15 5.7971 5.2093 4.8174
8.60 0.15 5.7622 5.1779 4.7884
8.60 0.15 5.7273 5.1466 4.7595
8.60 0.15 5.6924 5.1153 4.7305
8.60 0.15 5.6575 5.0840 4.7016
8.60 0.15 5.6226 5.0526 4.6726
8.60 0.15 5.5877 5.0213 4.6437
8.60 0.15 5.5528 4.9900 4.6147
8.60 0.15 5.5179 4.9586 4.5858
8.60 0.15 5.4830 4.9273 4.5568
8.60 0.15 5.4481 4.8960 4.5279
8.60 0.15 5.4132 4.8647 4.4989
8.60 0.15 5.3783 4.8333 4.4700
8.60 0.15 5.3434 4.8020 4.4411
8.60 0.15 5.3085 4.7707 4.4121
8.60 0.15 5.2736 4.7393 4.3832
8.60 0.15 5.2387 4.7080 4.3542
8.60 0.15 5.2038 4.6767 4.3253
8.60 0.15 5.1689 4.6454 4.2963
8.60 0.15 5.1340 4.6140 4.2674
8.60 0.15 5.0991 4.5827 4.2384
8.60 0.15 5.0642 4.5514 4.2095
8.60 0.15 5.0293 4.5201 4.1805
8.60 0.15 4.9944 4.4887 4.1516
8.60 0.15 4.9595 4.4574 4.1226
8.60 0.15 4.9246 4.4261 4.0937
8.60 0.15 4.8897 4.3947 4.0647
8.60 0.15 4.8548 4.3634 4.0358
8.60 0.15 4.8199 4.3321 4.0068
8.60 0.15 4.7850 4.3008 3.9779
8.60 0.15 4.7501 4.2694 3.9489
8.60 0.15 4.7152 4.2381 3.9200
8.60 0.15 4.6803 4.2068 3.8911
8.60 0.15 4.6454 4.1754 3.8621
8.60 0.15 4.6105 4.1441 3.8332
8.60 0.15 4.5756 4.1128 3.8042
8.60 0.15 4.5407 4.0815 3.7753
8.60 0.15 4.5058 4.0501 3.7463
8.60 0.15 4.4709 4.0188 3.7174
8.60 0.15 4.4360 3.9875 3.6884
8.60 0.15 4.4011 3.9561 3.6595
8.60 0.15 4.3662 3.9248 3.6305
8.60 0.15 4.3313 3.8935 3.6016
8.60 0.15 4.2964 3.8622 3.5726
8.60 0.15 4.2615 3.8308 3.5437
8.60 0.15 4.2266 3.7995 3.5147
8.60 0.15 4.1917 3.7682 3.4858
8.60 0.15 4.1568 3.7368 3.4568
8.60 0.15 4.1219 3.7055 3.4279
8.60 0.15 4.0870 3.6742 3.3989
8.60 0.15 4.0521 3.6429 3.3700
8.60 0.15 4.0172 3.6115 3.3411
8.60 0.15 3.9823 3.5802 3.3121
8.60 0.15 3.9474 3.5489 3.2832
8.60 0.15 3.9125 3.5175 3.2542
8.60 0.15 3.8776 3.4862 3.2253
8.60 0.15 3.8427 3.4549 3.1963
8.60 0.15 3.8078 3.4236 3.1674
8.60 0.15 3.7729 3.3922 3.1384
8.60 0.15 3.7380 3.3609 3.1095
8.60 0.15 3.7031 3.3296 3.0805
8.60 0.15 3.6682 3.2982 3.0516
8.60 0.15 3.6333 3.2669 3.0226
8.60 0.15 3.5984 3.2356 2.9937
8.60 0.15 3.5635 3.2043 2.9647
8.60 0.15 3.5286 3.1729 2.9358
8.60 0.15 3.4937 3.1416 2.9068
8.60 0.15 3.4588 3.1103 2.8779
8.60 0.15 3.4239 3.0789 2.8489
8.60 0.15 3.3890 3.0476 2.8200
8.60 0.15 3.3541 3.0163 2.7911
8.60 0.15 3.3192 2.9850 2.7621
8.60 0.15 3.2843 2.9536 2.7332
8.60 0.15 3.2494 2.9223 2.7042
8.60 0.15 3.2145 2.8910 2.6753
8.60 0.15 3.1796 2.8596 2.6463
8.60 0.15 3.1447 2.8283 2.6174
8.60 0.15 3.1098 2.7970 2.5884
8.60 0.15 3.0749 2.7657 2.5595
8.60 0.15 3.0401 2.7343 2.5305
8.60 0.15 3.0052 2.7030 2.5016
8.60 0.15 2.9703 2.6717 2.4726
8.60 0.15 2.9354 2.6404 2.4437
8.60 0.15 2.9005 2.6090 2.4147
8.60 0.15 2.8656 2.5777 2.3858
8.60 0.15 2.8307 2.5464 2.3568
8.60 0.15 2.7958 2.5150 2.3279
8.60 0.15 2.7609 2.4837 2.2989
8.60 0.15 2.7260 2.4524 2.2700
8.60 0.15 2.6911 2.4211 2.2411
8.60 0.15 2.6562 2.3897 2.2121
8.60 0.15 2.6213 2.3584 2.1832
8.60 0.15 2.5864 2.3271 2.1542
8.60 0.15 2.5515 2.2957 2.1253
8.60 0.15 2.5166 2.2644 2.0963
8.60 0.15 2.4817 2.2331 2.0674
8.60 0.15 2.4468 2.2018 2.0384
8.60 0.15 2.4119 2.1704 2.0095
8.60 0.15 2.3770 2.1391 1.9805
8.60 0.15 2.3421 2.1078 1.9516
8.60 0.15 2.3072 2.0764 1.9226
8.60 0.15 2.2723 2.0451 1.8937
8.60 0.15 2.2374 2.0138 1.8647
8.60 0.15 2.2025 1.9825 1.8358
8.60 0.15 2.1676 1.9511 1.8068
8.60 0.15 2.1327 1.9198 1.7779
8.60 0.15 2.0978 1.8885 1.7489
8.60 0.15 2.0629 1.8571 1.7200
8.60 0.15 2.0280 1.8258 1.6911
8.60 0.15 1.9931 1.7945 1.6621
8.60 0.15 1.9582 1.7632 1.6332
8.60 0.15 1.9233 1.7318 1.6042
8.60 0.15 1.8884 1.7005 1.5753
8.60 0.15 1.8535 1.6692 1.5463
8.60 0.15 1.8186 1.6378 1.5174
8.60 0.15 1.7837 1.6065 1.4884
8.60 0.15 1.7488 1.5752 1.4595
8.60 0.15 1.7139 1.5439 1.4305
8.60 0.15 1.6790 1.5125 1.4016
8.60 0.15 1.6441 1.4812 1.3726
8.60 0.15 1.6092 1.4499 1.3437
8.60 0.15 1.5743 1.4185 1.3147
8.60 0.15 1.5394 1.3872 1.2858
8.60 0.15 1.5045 1.3559 1.2568
8.60 0.15 1.4696 1.3246 1.2279
8.60 0.15 1.4347 1.2932 1.1989
8.60 0.15 1.3998 1.2619 1.1700
8.60 0.15 1.3649 1.2306 1.1411
8.60 0.15 1.3300 1.1992 1.1121
8.60 0.15 1.2951 1.1679 1.0832
8.60 0.15 1.2602 1.1366 1.0542
8.60 0.15 1.2253 1.1053 1.0253
8.60 0.15 1.1904 1.0739 0.9963
8.60 0.15 1.1555 1.0426 0.9674
8.60 0.15 1.1206 1.0113 0.9384
8.60 0.15 1.0857 0.9799 0.9095
8.60 0.15 1.0508 0.9486 0.8805
8.60 0.15 1.0159 0.9173 0.8516
8.60 0.15 0.9810 0.8860 0.8226
8.60 0.15 0.9461 0.8546 0.7937
8.60 0.15 0.9112 0.8233 0.7647
8.60 0.15 0.8763 0.7920 0.7358
8.60 0.15 0.8414 0.7607 0.7068
8.60 0.15 0.8065 0.7293 0.6779
8.60 0.15 0.7716 0.6980 0.6489
8.60 0.15 0.7367 0.6667 0.6200
8.60 0.15 0.7018 0.6353 0.5911
8.60 0.15 0.6669 0.6040 0.5621
8.60 0.15 0.6320 0.5727 0.5332
8.60 0.15 0.5971 0.5414 0.5042
8.60 0.15 0.5622 0.5100 0.4753
8.60 0.15 0.5273 0.4787 0.4463
8.60 0.15 0.4924 0.4474 0.4174
8.60 0.15 0.4575 0.4160 0.3884
8.60 0.15 0.4226 0.3847 0.3595
8.60 0.15 0.3877 0.3534 0.3305
8.60 0.15 0.3528 0.3221 0.3016
8.60 0.15 0.3179 0.2907 0.2726
8.60 0.15 0.2830 0.2594 0.2437
8.60 0.15 0.2481 0.2281 0.2147
8.60 0.15 0.2132 0.1967 0.1858
8.60 0.15 0.1783 0.1654 0.1568
8.60 0.15 0.1434 0.1341 0.1279
8.60 0.15 0.1085 0.1028 0.0989
8.60 0.15 0.0736 0.0714 0.0700
8.60 0.15 0.0387 0.0401 0.0411
8.60 0.15 0.0038 0.0088 0.0121
8.60 0.15 -0.0311 -0.0226 -0.0168
8.60 0.15 -0.0660 -0.0539 -0.0458
8.60 0.15 -0.1009 -0.0852 -0.0747
8.60 0.15 -0.1358 -0.1165 -0.1037
8.60 0.15 -0.1707 -0.1479 -0.1326
8.60 0.15 -0.2056 -0.1792 -0.1616
8.60 0.15 -0.2405 -0.2105 -0.1905
8.60 0.15 -0.2754 -0.2419 -0.2195
8.60 0.15 -0.3103 -0.2732 -0.2484
8.60 0.15 -0.3452 -0.3045 -0.2774
8.60 0.15 -0.3801 -0.3358 -0.3063
8.60 0.15 -0.4150 -0.3672 -0.3353
8.60 0.15 -0.4499 -0.3985 -0.3642
8.60 0.15 -0.4848 -0.4298 -0.3932
8.60 0.15 -0.5197 -0.4612 -0.4221
8.60 0.15 -0.5546 -0.4925 -0.4511
8.60 0.15 -0.5895 -0.5238 -0.4800
8.60 0.15 -0.6244 -0.5551 -0.5089
8.60 0.15 -0.6593 -0.5865 -0.5379
8.60 0.15 -0.6942 -0.6178 -0.5668
8.60 0.15 -0.7291 -0.6491 -0.5958
8.60 0.15 -0.7640 -0.6805 -0.6247
8.60 0.15 -0.7989 -0.7118 -0.6537
8.60 0.15 -0.8338 -0.7431 -0.6826
8.60 0.15 -0.8687 -0.7744 -0.7116
8.60 0.15 -0.9036 -0.8058 -0.7405
8.60 0.15 -0.9385 -0.8371 -0.7695
8.60 0.15 -0.9734 -0.8684 -0.7984
8.60 0.15 -1.0083 -0.8997 -0.8274
8.60 0.15 -1.0432 -0.9311 -0.8563
8.60 0.15 -1.0781 -0.9624 -0.8853
8.60 0.15 -1.1130 -0.9937 -0.9142
8.60 0.15 -1.1274 -1.0140 -0.9384
8.60 0.15 -1.1367 -1.0316 -0.9615
8.60 0.15 -1.1460 -1.0491 -0.9846
8.60 0.15 -1.1552 -1.0667 -1.0076
8.60 0.15 -1.1645 -1.0842 -1.0307
8.60 0.15 -1.1738 -1.1018 -1.0537
8.60 0.15 -1.1831 -1.1193 -1.0768
8.60 0.15 -1.1923 -1.1368 -1.0998
8.60 0.15 -1.2016 -1.1544 -1.1229
8.60 0.15 -1.2109 -1.1719 -1.1460
8.60 0.15 -1.2202 -1.1895 -1.1690
8.60 0.15 -1.2294 -1.2070 -1.1921
8.60 0.15 -1.2387 -1.2246 -1.2151
8.60 0.15 -1.2480 -1.2421 -1.2382
8.60 0.15 -1.2572 -1.2596 -1.2613
8.60 0.15 -1.2665 -1.2772 -1.2843
8.60 0.15 -1.2758 -1.2947 -1.3074
8.60 0.15 -1.2851 -1.3123 -1.3304
8.60 0.15 -1.2943 -1.3298 -1.3535
8.60 0.15 -1.3036 -1.3474 -1.3765
8.60 0.15 -1.3129 -1.3649 -1.3996
8.60 0.15 -1.3222 -1.3825 -1.4227
8.60 0.15 -1.3314 -1.4000 -1.4457
8.60 0.15 -1.3407 -1.4175 -1.4688
8.60 0.15 -1.3500 -1.4351 -1.4918
8.60 0.15 -1.3592 -1.4526 -1.5149
8.60 0.15 -1.3685 -1.4702 -1.5379
8.60 0.15 -1.3778 -1.4877 -1.5610
8.60 0.15 -1.3871 -1.5053 -1.5841
8.60 0.15 -1.3963 -1.5228 -1.6071
8.60 0.15 -1.4056 -1.5404 -1.6302
8.60 0.15 -1.4149 -1.5579 -1.6532
8.60 0.15 -1.4242 -1.5754 -1.6763
8.60 0.15 -1.4334 -1.5930 -1.6993
8.60 0.15 -1.4427 -1.6105 -1.7224
8.60 0.15 -1.4520 -1.6281 -1.7455
8.60 0.15 -1.4613 -1.6456 -1.7685
8.60 0.15 -1.4705 -1.6632 -1.7916
8.60 0.15 -1.4798 -1.6807 -1.8146
8.60 0.15 -1.4891 -1.6982 -1.8377
8.60 0.15 -1.4983 -1.7158 -1.8608
8.60 0.15 -1.5076 -1.7333 -1.8838
8.60 0.15 -1.5169 -1.7509 -1.9069
8.60 0.15 -1.5262 -1.7684 -1.9299
8.60 0.15 -1.5354 -1.7860 -1.9530
8.60 0.15 -1.5447 -1.8035 -1.9760
8.60 0.15 -1.5540 -1.8211 -1.9991
8.60 0.15 -1.5633 -1.8386 -2.0222
8.60 0.15 -1.5725 -1.8561 -2.0452
8.60 0.15 -1.5818 -1.8737 -2.0683
8.60 0.15 -1.5911 -1.8912 -2.0913
8.60 0.15 -1.6004 -1.9088 -2.1144
8.60 0.15 -1.6096 -1.9263 -2.1374
8.60 0.15 -1.6189 -1.9439 -2.1605
8.60 0.15 -1.6282 -1.9614 -2.1836
8.60 0.15 -1.6374 -1.9789 -2.2066
8.60 0.15 -1.6467 -1.9965 -2.2297
8.60 0.15 -1.6560 -2.0140 -2.2527
8.60 0.15 -1.6653 -2.0316 -2.2758
8.60 0.15 -1.6745 -2.0491 -2.2988
8.60 0.15 -1.6838 -2.0667 -2.3219
8.60 0.15 -1.6931 -2.0842 -2.3450
8.60 0.15 -1.7024 -2.1018 -2.3680
8.60 0.15 -1.7116 -2.1193 -2.3911
8.60 0.15 -1.7209 -2.1368 -2.4141
8.60 0.15 -1.7302 -2.1544 -2.4372
8.60 0.15 -1.7394 -2.1719 -2.4603
8.60 0.15 -1.7487 -2.1895 -2.4833
8.60 0.15 -1.7580 -2.2070 -2.5064
8.60 0.15 -1.7673 -2.2246 -2.5294
8.60 0.15 -1.7765 -2.2421 -2.5525
8.60 0.15 -1.7858 -2.2596 -2.5755
8.60 0.15 -1.7951 -2.2772 -2.5986
8.60 0.15 -1.8044 -2.2947 -2.6217
8.60 0.15 -1.8136 -2.3123 -2.6447
8.60 0.15 -1.8229 -2.3298 -2.6678
8.60 0.15 -1.8322 -2.3474 -2.6908
8.60 0.15 -1.8415 -2.3649 -2.7139
8.60 0.15 -1.8507 -2.3825 -2.7369
8.60 0.15 -1.8600 -2.4000 -2.7600
