B,B_err,V,V_err,R,R_err
19.42805866602136,0.03,18.35138258478057,0.03,17.65611648907144,0.03
17.35877015772914,0.03,16.567839503696327,0.03,15.986291819199618,0.03
19.433948306251853,0.03,18.32205053531788,0.03,17.627587869187366,0.03
15.760316314864681,0.03,14.99275592113945,0.03,14.571948376102563,0.03
9.840599462968594,0.03,9.773974481970328,0.03,9.760236976880986,0.03
19.235285497998095,0.03,18.222917791069356,0.03,17.590755361292594,0.03
16.53579878771858,0.03,15.710046156457384,0.03,15.25675695760687,0.03
16.38433086328784,0.03,15.547266419924005,0.03,15.147810887710852,0.03
10.659006534234384,0.03,10.49053343549065,0.03,10.407957972085176,0.03
18.469057266585605,0.03,17.559971028946556,0.03,16.92489912844716,0.03
15.208771016886889,0.03,14.540620394229453,0.03,14.182911145914014,0.03
17.85316100292611,0.03,16.962612406024128,0.03,16.36984358859731,0.03
20.550482587864142,0.03,19.393736404489562,0.03,18.578188665942534,0.03
12.388678474998274,0.03,12.025326005205262,0.03,11.793641754056486,0.03
20.127926673116363,0.03,19.00100967422617,0.03,18.23135657292981,0.03
17.656825083545463,0.03,16.745944295507552,0.03,16.23348123209741,0.03
15.234338183449312,0.03,14.547692834686222,0.03,14.182006735953227,0.03
15.360304697973834,0.03,14.686267938385319,0.03,14.294831839932868,0.03
19.458430988696254,0.03,18.3905562818284,0.03,17.6940592148656,0.03
9.84184550700584,0.03,9.705341716231063,0.03,9.732792839129267,0.03
12.405509758417182,0.03,12.064624158058539,0.03,11.793992278760042,0.03
10.061034240554827,0.03,9.88532658933288,0.03,9.896617355213017,0.03
19.729253129966303,0.03,18.686388522019822,0.03,17.937858368010993,0.03
12.68043291228083,0.03,12.313873659456211,0.03,12.048535950274923,0.03
17.573094011352683,0.03,16.620353106934257,0.03,16.149650937501352,0.03
14.735809680409677,0.03,14.106096030966228,0.03,13.72697112914619,0.03
10.478018722695777,0.03,10.299758122443878,0.03,10.204688963818977,0.03
17.71922999635822,0.03,16.78956105863225,0.03,16.193093948655715,0.03
12.665694283909788,0.03,12.253639918228098,0.03,12.094009823303482,0.03
18.988318569553392,0.03,17.92780745954466,0.03,17.273529927626473,0.03
17.193142125219143,0.03,16.32071338050324,0.03,15.814969007955439,0.03
9.96461201812577,0.03,9.82574271220618,0.03,9.820429356984256,0.03
16.063716530774776,0.03,15.383327078903282,0.03,14.905331006845325,0.03
15.041603479906394,0.03,14.418108852158142,0.03,13.960945106261542,0.03
17.511672108594855,0.03,16.640092474783135,0.03,16.066019808437403,0.03
19.452088753296376,0.03,18.40820579074905,0.03,17.755629080457005,0.03
16.036581431109344,0.03,15.283766713782173,0.03,14.82987089411135,0.03
13.818295362978905,0.03,13.337932364945583,0.03,12.991012298334407,0.03
15.763417197113668,0.03,15.009621652885476,0.03,14.574252446198889,0.03
12.084657926863693,0.03,11.798262163842884,0.03,11.621810596675001,0.03
16.73149319808058,0.03,15.967071144176831,0.03,15.426142701810976,0.03
13.870576240687148,0.03,13.34436906337829,0.03,13.125065377187479,0.03
12.154776745390395,0.03,11.822878880537965,0.03,11.594469435945772,0.03
10.576422274731089,0.03,10.340974106379099,0.03,10.323252613383994,0.03
16.021596034174035,0.03,15.310259944931055,0.03,14.85671702216914,0.03
20.337384208425142,0.03,19.137806420514686,0.03,18.38128290522859,0.03
12.789964574028314,0.03,12.364098222592336,0.03,12.1937383807511,0.03
14.89800875704709,0.03,14.264741470395567,0.03,13.953154935582296,0.03
11.0579415005654,0.03,10.830949451095265,0.03,10.677115152746849,0.03
15.738872655719437,0.03,14.981454658848968,0.03,14.55184205795975,0.03
16.698066196101202,0.03,15.863947211257381,0.03,15.431568835165,0.03
20.094194307535023,0.03,18.941301611492044,0.03,18.182051056052117,0.03
15.675919064401944,0.03,15.005745922906353,0.03,14.490476663889156,0.03
13.618438270700368,0.03,13.13067492037998,0.03,12.803369412953147,0.03
12.19298562426253,0.03,11.795864324063139,0.03,11.638423627765304,0.03
11.281429184652028,0.03,11.05715229636433,0.03,10.885450786049072,0.03
18.40709786939625,0.03,17.435307313116667,0.03,16.82628762551863,0.03
14.128883715225447,0.03,13.658295508040213,0.03,13.313491722514877,0.03
11.830715128331617,0.03,11.491668403155014,0.03,11.299632260784337,0.03
17.86114047256023,0.03,16.977739742247984,0.03,16.39087808309023,0.03
16.900894656651744,0.03,16.075198437441,0.03,15.64850017686958,0.03
11.44106155133189,0.03,11.174255692650224,0.03,11.054505154464938,0.03
14.323228245385781,0.03,13.711366594799829,0.03,13.42201096004965,0.03
15.101193545238155,0.03,14.466859933682388,0.03,14.058672548158995,0.03
13.27645051274999,0.03,12.847726024323016,0.03,12.582312994247953,0.03
15.058436091592014,0.03,14.424549677974529,0.03,14.029083225704268,0.03
9.937587314872541,0.03,9.745844377849073,0.03,9.738492386255553,0.03
12.425529757618632,0.03,12.035517319574078,0.03,11.826502389297866,0.03
20.147587269164188,0.03,19.056254164162734,0.03,18.31831017071342,0.03
19.111384490584275,0.03,18.10203133830846,0.03,17.429942263683195,0.03
14.705114835102561,0.03,14.065439527392417,0.03,13.706949764100406,0.03
11.58468557882337,0.03,11.358853870957548,0.03,11.19611752522335,0.03
20.012326274617624,0.03,18.88627529189887,0.03,18.176192801766128,0.03
13.153144338542944,0.03,12.787285915302343,0.03,12.432084930593454,0.03
12.331210868887972,0.03,11.889989245471758,0.03,11.725503540273602,0.03
12.044089395799865,0.03,11.673646582960323,0.03,11.48763859899909,0.03
10.956693210311833,0.03,10.852545305144824,0.03,10.655303095247877,0.03
18.647428214424217,0.03,17.601465995381094,0.03,17.039536837508813,0.03
14.549282184539393,0.03,13.972049073788973,0.03,13.692133971498198,0.03
11.874015149001304,0.03,11.548608013809728,0.03,11.38996324335717,0.03
16.801533596125253,0.03,16.012269361659396,0.03,15.483765372398052,0.03
18.66262930040901,0.03,17.62205768971803,0.03,17.009137847721288,0.03
15.40344645262341,0.03,14.776116405723597,0.03,14.35472230352962,0.03
19.922521272053437,0.03,18.742117990492368,0.03,18.00191000647483,0.03
18.39268159349701,0.03,17.405725688141814,0.03,16.776987841474796,0.03
11.215487138396693,0.03,11.000468541122974,0.03,10.905221453708718,0.03
13.352599685737484,0.03,12.909920761793577,0.03,12.63867509527084,0.03
11.157431698076907,0.03,10.910763916930796,0.03,10.800033500613896,0.03
11.421221918436824,0.03,11.1516093328404,0.03,11.020945656351232,0.03
10.965162914684706,0.03,10.778314715087346,0.03,10.666251680470817,0.03
17.376001026090343,0.03,16.485815152287664,0.03,15.964356032889743,0.03
15.476124307901896,0.03,14.839957623344459,0.03,14.410826517413664,0.03
13.890928707606507,0.03,13.358913881327808,0.03,13.017394557169652,0.03
17.75382814106744,0.03,16.848040796397566,0.03,16.270022379828283,0.03
10.49510871248089,0.03,10.365738295764958,0.03,10.32242993461759,0.03
20.69808297698401,0.03,19.48713965998801,0.03,18.739148797579507,0.03
11.405019821149837,0.03,11.149425828873305,0.03,11.044977917394215,0.03
13.58170965505044,0.03,13.093697490685894,0.03,12.814412206203558,0.03
17.913065870321716,0.03,16.964701916119527,0.03,16.37260973624411,0.03
12.734979850465054,0.03,12.35329417904419,0.03,12.06428579347124,0.03
16.162088143588246,0.03,15.424844665273758,0.03,14.918057198113909,0.03
11.446816985801956,0.03,11.162518163413495,0.03,11.04373593340269,0.03
9.643742497144347,0.03,9.581684724918254,0.03,9.551577691513883,0.03
17.625291338433122,0.03,16.692407793006442,0.03,16.191907529604382,0.03
15.56269578486099,0.03,14.837343168319062,0.03,14.424169258494096,0.03
18.39218301345579,0.03,17.408563286655514,0.03,16.836775088055685,0.03
13.058117749205149,0.03,12.689212070978163,0.03,12.370727379130914,0.03
13.63556953636252,0.03,13.114192707754842,0.03,12.850090419579784,0.03
11.336334072592324,0.03,11.11137796437644,0.03,10.986248040714072,0.03
11.767891475925826,0.03,11.530030925473984,0.03,11.309581229231284,0.03
9.901903591737907,0.03,9.790041349957233,0.03,9.663036767641879,0.03
9.99166350107573,0.03,9.93947710457466,0.03,9.828900086482285,0.03
10.771357835875193,0.03,10.563163793274377,0.03,10.500365680878968,0.03
19.11065121825837,0.03,17.980978516695995,0.03,17.294609245952916,0.03
20.333442307746548,0.03,19.168882039504645,0.03,18.38945833207589,0.03
15.388497002583922,0.03,14.692709424812698,0.03,14.308630815329938,0.03
16.87551144323049,0.03,16.09723838874467,0.03,15.549484057550066,0.03
10.80634892643971,0.03,10.557880543965426,0.03,10.453065790575947,0.03
11.883412662164044,0.03,11.595994124458809,0.03,11.381035457123534,0.03
16.02122424674516,0.03,15.34977687203695,0.03,14.852180521003785,0.03
14.376617626394902,0.03,13.76713273583547,0.03,13.487970028742998,0.03
14.19287597240433,0.03,13.69052611782295,0.03,13.345628891131023,0.03
10.794847633709677,0.03,10.628212562469766,0.03,10.479062599569767,0.03
20.53363552433774,0.03,19.329665762730773,0.03,18.548217139892458,0.03
15.32534683342523,0.03,14.667650128010091,0.03,14.281853035064383,0.03
13.27769445336436,0.03,12.811474220035025,0.03,12.609683355477353,0.03
15.701325497098678,0.03,15.060317635687209,0.03,14.619662195115682,0.03
10.568902436321546,0.03,10.351929784585423,0.03,10.275283323485244,0.03
10.147458280662725,0.03,10.018852135059063,0.03,10.032310836860093,0.03
11.515338234781488,0.03,11.312656653906746,0.03,11.133702856456468,0.03
15.62846420701169,0.03,14.898209926121945,0.03,14.4830047078691,0.03
10.88778865203811,0.03,10.695838895586208,0.03,10.541985536308289,0.03
19.982113367607063,0.03,18.845258955953057,0.03,18.09530830678389,0.03
13.401026477909609,0.03,12.98723419583364,0.03,12.733954908370771,0.03
17.806790941066595,0.03,16.875075164190704,0.03,16.273309705370796,0.03
18.060254582807186,0.03,17.161829124094524,0.03,16.51892927729722,0.03
13.179416648068273,0.03,12.760185007775187,0.03,12.452659492727944,0.03
12.244985440007406,0.03,11.8718877694508,0.03,11.688237272218593,0.03
10.849436023595322,0.03,10.63572838296402,0.03,10.58206504745955,0.03
18.410688026277683,0.03,17.471736982098903,0.03,16.829705099130006,0.03
11.075242495462986,0.03,10.84534054763748,0.03,10.751030259991287,0.03
11.505079753644246,0.03,11.186704061950437,0.03,11.098113577700198,0.03
17.27821453103093,0.03,16.38647697777334,0.03,15.895162165312879,0.03
20.051191267541785,0.03,18.909913680987486,0.03,18.249028334496355,0.03
12.208317069747444,0.03,11.826098575852235,0.03,11.678800757975928,0.03
11.508718150272697,0.03,11.315178053284095,0.03,11.125234212793009,0.03
15.613872766647043,0.03,14.98914866430597,0.03,14.500800398585433,0.03
18.9614605679203,0.03,17.950129780273368,0.03,17.245865914615063,0.03
19.12884159549575,0.03,18.122778983070305,0.03,17.45918533869556,0.03
16.587931751738292,0.03,15.780900030785663,0.03,15.29309239798111,0.03
12.327676606711366,0.03,11.973326535503997,0.03,11.853100116210324,0.03
17.2771493555718,0.03,16.41552648243995,0.03,15.90807748057716,0.03
